label,id,scenario,yr_pub,yr_data,if_jrnl,if_refer,if_pe,if_ge,model,wct_total,wct_food,wct_price,wct_ghg,wct_land,wct_iluc,if_focus,if_corn,if_coarse,if_ddgs,if_iluc,if_fuel,p_oil,if_lvstk,if_response,if_conven,if_broad,if_tax,if_other,if_cornonly,q0_ethnl,q1_ethnl,dq_ethnl,dq_ethnl_pct,dp_corn,dp_corn_pct,p0_corn,wct_fl,wct_fg,wct_fd,wct_ems,wct_fvg,wct_fog,if_food,wct_fvg2,if_dec,dp_corn_d,dp_corn_pct_d,dpc_pct_avg,dq_ethnl_d,dqe_sq,dqe_d_sq,pcqe_e,pcqe_se,pcqe,max_id,wi,n_model,max_model,wm,y,mt,pcqe_se_wm,pcqe_se_wmsum,pcqe_se_wmt,pcqe_e_wm,pcqe_e_wmsum,pcqe_e_wmt,dp_corn_pct_dwm,dp_corn_pct_dwmsum,dp_corn_pct_d_wmt,pcqe_wm,pcqe_wmsum,pcqe_wmt,model_upper,model_lower
"Khanna,_Madhu;_Oliver,_Anthony.The_Welfare_Costs_of_GHG_Reduction_with_Renewable_Energy_Policies_in_the_US_2013",111,1,2013,2030,0,0,1,0,BEPAM,11404,7,88,60,38,0,0,1,0,1,1,1,,1,1,0,1,0,0,0,3.8569119,3.8569119,0,0,.003197755,.001,3.1977546,.18421052,-.46474922,.0083304103,.0085934764,-.00026306603,.96938771,0,6.9203736e-08,0,.003197755,.001,.19725001,0,0,0,,,,4,.25,5,19,.052631579,3,35,,1.4538637,.041538965,,13.568561,.38767317,.000052631582,6.2011752,.17717643,,5.7900596,.16543028,2-PE,6-PE_other
"Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri;_Chen,_Xiaoguang.Stacking_low_carbon_policies_on_the_renewable_fuels_standard:_Economic_and_greenhouse_gas_implications_2013",100,3,2013,2035,1,1,1,0,BEPAM,10737,28,198,77,41,16,1,1,0,1,1,1,,1,1,0,1,0,1,0,5.2834411,1.4793634,-3.8040776,-.72000003,.25375777,.079881661,3.1766715,.49122807,-.45636582,.02104871,.012480209,.0085685011,1.6865672,1,.000073419214,1,-.25375777,-.079881661,.081907354,3.8040776,14.471006,14.471006,-.11094674,-.020998957,-.066706784,3,.33333334,6,19,.052631579,3,35,-.0011052083,1.4538637,.041538965,-.0058393022,13.568561,.38767317,-.0042042979,6.2011752,.17717643,-.0035108833,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Khanna,_Madhu.Food_vs._Fuel:_The_Effect_of_Biofuel_Policies_2012",70,2,2012,2022,1,1,1,0,BEPAM,4515,27,53,0,40,0,1,1,0,1,1,0,,0,1,0,1,1,0,0,3.8833292,15.004972,11.121643,2.8639455,1.5065413,.368,4.0938621,.67500001,.59800667,.017718716,.0088593578,.0088593578,2,1,.000078488221,0,1.5065413,.368,.37916666,11.121643,123.69094,123.69094,.12849407,.033088636,.13546032,6,.16666667,7,19,.052631579,3,35,.0017415072,1.4538637,.041538965,.0067628459,13.568561,.38767317,.019368421,6.2011752,.17717643,.0071294904,5.7900596,.16543028,2-PE,6-PE_other
"Khanna,_Madhu;_Oliver,_Anthony.The_Welfare_Costs_of_GHG_Reduction_with_Renewable_Energy_Policies_in_the_US_2013",111,3,2013,2030,0,0,1,0,BEPAM,11404,7,88,60,38,0,0,1,0,1,1,1,,1,1,0,1,0,0,0,3.8569119,15.004972,11.148061,2.8904109,1.2567176,.39300001,3.1977546,.18421052,-.46474922,.0083304103,.0085934764,-.00026306603,.96938771,0,6.9203736e-08,0,1.2567176,.39300001,.19725001,11.148061,124.27926,124.27926,.13596682,.035252769,.1127297,4,.25,8,19,.052631579,3,35,.0018554089,1.4538637,.041538965,.0071561486,13.568561,.38767317,.020684211,6.2011752,.17717643,.0059331423,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri.Meeting_the_Mandate_for_Biofuels:_Implications_for_Land_Use,_Food_and_Fuel_Prices_2011",68,2,2011,2022,0,0,1,0,BEPAM,17748,26,177,3,209,0,0,1,0,1,1,1,,1,1,0,1,1,0,0,6.5567503,0,-6.5567503,-1,-.16764779,-.056122448,2.9871788,.12440191,.12959206,.011437909,.011945008,-.00050709955,.95754713,0,2.5714996e-07,1,.16764779,.056122448,.14838435,6.5567503,42.990974,42.990974,.056122448,.0085594915,.025568733,2,.5,9,19,.052631579,3,35,.00045049956,1.4538637,.041538965,.0029538132,13.568561,.38767317,.0029538132,6.2011752,.17717643,.0013457228,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri.Alternative_transportation_fuel_standards:_Welfare_effects_and_climate_benefits_2014",65,1,2014,2018.5,1,1,1,0,BEPAM,3074,92,89,107,144,9,0,1,0,1,1,1,,1,1,0,1,0,0,0,4.8208332,16.029167,11.208333,2.3249784,1.2917702,.33000001,3.9144552,.60130721,-.48796356,.058880936,.084580354,-.025699418,.69615382,0,.00066046009,0,1.2917702,.33000001,.073333338,11.208333,125.62673,125.62673,.14193681,.029442381,.11525088,3,.33333334,10,19,.052631579,3,35,.001549599,1.4538637,.041538965,.0074703586,13.568561,.38767317,.017368421,6.2011752,.17717643,.0060658357,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Khanna,_Madhu.Food_vs._Fuel:_The_Effect_of_Biofuel_Policies_2012",70,5,2012,2022,1,1,1,0,BEPAM,4515,27,53,0,40,0,1,1,0,1,1,0,,0,1,0,1,1,1,0,3.8833292,12.284,8.400671,2.1632652,1.7317036,.42300001,4.0938621,.67500001,.59800667,.017718716,.0088593578,.0088593578,2,1,.000078488221,0,1.7317036,.42300001,.37916666,8.400671,70.571274,70.571274,.19553775,.050353121,.20613873,6,.16666667,11,19,.052631579,3,35,.0026501643,1.4538637,.041538965,.01029146,13.568561,.38767317,.022263158,6.2011752,.17717643,.010849407,5.7900596,.16543028,2-PE,6-PE_other
"Khanna,_Madhu;_Oliver,_Anthony.The_Welfare_Costs_of_GHG_Reduction_with_Renewable_Energy_Policies_in_the_US_2013",111,2,2013,2030,0,0,1,0,BEPAM,11404,7,88,60,38,0,0,1,0,1,1,1,,1,1,0,1,0,0,0,3.8569119,15.004972,11.148061,2.8904109,1.263113,.39500001,3.1977546,.18421052,-.46474922,.0083304103,.0085934764,-.00026306603,.96938771,0,6.9203736e-08,0,1.263113,.39500001,.19725001,11.148061,124.27926,124.27926,.13665877,.035432171,.11330339,4,.25,12,19,.052631579,3,35,.0018648511,1.4538637,.041538965,.007192567,13.568561,.38767317,.020789474,6.2011752,.17717643,.0059633362,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri.Alternative_transportation_fuel_standards:_Welfare_effects_and_climate_benefits_2014",65,2,2014,2018.5,1,1,1,0,BEPAM,3074,92,89,107,144,9,0,1,0,1,1,1,,1,1,0,0,0,1,0,4.8208332,4.8958335,.075000003,.015557476,.23486732,.059999999,3.9144552,.60130721,-.48796356,.058880936,.084580354,-.025699418,.69615382,0,.00066046009,0,.23486732,.059999999,.073333338,.075000003,.0056250002,.0056250002,3.8566666,.79999995,3.1315641,3,.33333334,13,19,.052631579,3,35,.042105261,1.4538637,.041538965,.20298246,13.568561,.38767317,.0031578946,6.2011752,.17717643,.16481917,5.7900596,.16543028,2-PE,6-PE_other
"Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri;_Chen,_Xiaoguang.Stacking_low_carbon_policies_on_the_renewable_fuels_standard:_Economic_and_greenhouse_gas_implications_2013",100,1,2013,2035,1,1,1,0,BEPAM,10737,28,198,77,41,16,1,1,0,1,1,1,,1,1,0,1,0,0,0,5.2834411,15,9.7165594,1.8390589,1.2629466,.39756918,3.1766715,.49122807,-.45636582,.02104871,.012480209,.0085685011,1.6865672,1,.000073419214,0,1.2629466,.39756918,.081907354,9.7165594,94.41153,94.41153,.21618077,.040916663,.12997879,3,.33333334,14,19,.052631579,3,35,.0021535086,1.4538637,.041538965,.011377935,13.568561,.38767317,.020924693,6.2011752,.17717643,.006840989,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Huang,_Haixiao;_Khanna,_Madhu;_Önal,_Hayri.Meeting_the_Mandate_for_Biofuels:_Implications_for_Land_Use,_Food_and_Fuel_Prices_2011",68,1,2011,2022,0,0,1,0,BEPAM,17748,26,177,3,209,0,0,1,0,1,1,1,,1,1,0,1,0,0,0,6.5567503,14.093579,7.5368285,1.1494762,.71885341,.24064626,2.9871788,.12440191,.12959206,.011437909,.011945008,-.00050709955,.95754713,0,2.5714996e-07,0,.71885341,.24064626,.14838435,7.5368285,56.803783,56.803783,.20935297,.031929381,.095378764,2,.5,15,19,.052631579,3,35,.0016804937,1.4538637,.041538965,.011018577,13.568561,.38767317,.012665593,6.2011752,.17717643,.0050199348,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Khanna,_Madhu.Food_vs._Fuel:_The_Effect_of_Biofuel_Policies_2012",70,1,2012,2022,1,1,1,0,BEPAM,4515,27,53,0,40,0,1,1,0,1,1,0,,0,1,0,1,0,0,0,3.8833292,11.491485,7.6081553,1.9591837,.96205759,.235,4.0938621,.67500001,.59800667,.017718716,.0088593578,.0088593578,2,1,.000078488221,0,.96205759,.235,.37916666,7.6081553,57.884026,57.884026,.11994792,.030887907,.12645084,6,.16666667,16,19,.052631579,3,35,.0016256793,1.4538637,.041538965,.0063130483,13.568561,.38767317,.012368421,6.2011752,.17717643,.006655307,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Khanna,_Madhu.Food_vs._Fuel:_The_Effect_of_Biofuel_Policies_2012",70,3,2012,2022,1,1,1,0,BEPAM,4515,27,53,0,40,0,1,1,0,1,1,0,,0,1,0,1,1,1,0,3.8833292,15.004972,11.121643,2.8639455,1.5188228,.37099999,4.0938621,.67500001,.59800667,.017718716,.0088593578,.0088593578,2,1,.000078488221,0,1.5188228,.37099999,.37916666,11.121643,123.69094,123.69094,.12954158,.03335838,.1365646,6,.16666667,17,19,.052631579,3,35,.0017557043,1.4538637,.041538965,.0068179779,13.568561,.38767317,.019526316,6.2011752,.17717643,.0071876105,5.7900596,.16543028,2-PE,6-PE_other
"Chen,_Xiaoguang;_Khanna,_Madhu.Food_vs._Fuel:_The_Effect_of_Biofuel_Policies_2012",70,4,2012,2022,1,1,1,0,BEPAM,4515,27,53,0,40,0,1,1,0,1,1,0,,0,1,0,1,0,1,0,3.8833292,10.064955,6.1816258,1.5918367,1.4492272,.354,4.0938621,.67500001,.59800667,.017718716,.0088593578,.0088593578,2,1,.000078488221,0,1.4492272,.354,.37916666,6.1816258,38.212498,38.212498,.22238462,.057266489,.2344411,6,.16666667,18,19,.052631579,3,35,.0030140257,1.4538637,.041538965,.011704453,13.568561,.38767317,.018631579,6.2011752,.17717643,.012339005,5.7900596,.16543028,2-PE,6-PE_other
"Khanna,_Madhu;_Oliver,_Anthony.The_Welfare_Costs_of_GHG_Reduction_with_Renewable_Energy_Policies_in_the_US_2013",111,4,2013,2030,0,0,1,0,BEPAM,11404,7,88,60,38,0,0,1,0,1,1,1,,1,1,0,1,0,0,0,3.8569119,3.7512431,-.10566882,-.02739726,0,0,3.1977546,.18421052,-.46474922,.0083304103,.0085934764,-.00026306603,.96938771,0,6.9203736e-08,1,0,0,.19725001,.10566882,.011165899,.011165899,0,0,0,4,.25,19,19,.052631579,3,35,0,1.4538637,.041538965,0,13.568561,.38767317,0,6.2011752,.17717643,0,5.7900596,.16543028,2-PE,6-PE_other
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,8,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,12.55,14.36,1.8099999,.14422311,.46000001,.095435686,4.8200002,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,.46000001,.095435686,.26883423,1.8099999,3.2760997,3.2760997,.6617226,.052726902,.25414366,16,.0625,1,25,.039999999,4,35,.0021090761,1.4538637,.041538965,.026468903,13.568561,.38767317,.0038174274,6.2011752,.17717643,.010165746,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,12,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,5.1100001,10.92,5.8099999,1.1369863,.98000002,.27683616,3.54,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,.98000002,.27683616,.26883423,5.8099999,33.7561,33.7561,.24348241,.047648221,.16867471,16,.0625,2,25,.039999999,4,35,.0019059288,1.4538637,.041538965,.0097392965,13.568561,.38767317,.011073446,6.2011752,.17717643,.0067469883,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Updated_assessment_of_the_drought’s_impacts_on_crop_prices_and_biofuel_production_2012",41,3,2012,2012,0,0,1,0,Babcock,2224,1,54,0,0,0,1,1,0,1,0,0,,0,0,1,0,0,0,1,13.3,12,-1.3,-.097744361,-1.91,-.1963001,9.7299995,,.04496403,.024730217,0,.024730217,,1,.00061158364,1,1.91,.1963001,.20677775,1.3,1.6899998,1.6899998,2.008301,.15100008,1.4692308,3,.33333334,3,25,.039999999,4,35,.0060400032,1.4538637,.041538965,.080332041,13.568561,.38767317,.0078520039,6.2011752,.17717643,.05876923,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,9,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,.81999999,6.04,5.2199998,6.3658538,.87,.22193877,3.9200001,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,.87,.22193877,.26883423,5.2199998,27.248398,27.248398,.034863945,.042517006,.16666667,16,.0625,4,25,.039999999,4,35,.0017006802,1.4538637,.041538965,.0013945578,13.568561,.38767317,.0088775512,6.2011752,.17717643,.0066666668,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Distributional_implications_of_US_ethanol_policy_2008",208,6,2008,2007,1,0,1,0,Babcock,4618,9,79,1,0,0,1,1,0,1,0,0,63,0,1,1,0,1,0,0,11,15,4,.36363637,.27000001,.079646021,3.3900001,,.17323516,.019055868,.00021654397,.018839324,87.999992,1,.00035492014,0,.27000001,.079646021,.082934886,4,16,16,.21902655,.019911505,.067500003,6,.16666667,5,25,.039999999,4,35,.0007964602,1.4538637,.041538965,.0087610623,13.568561,.38767317,.0031858408,6.2011752,.17717643,.0027000001,5.7900596,.16543028,2-PE,6-PE_other
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,10,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,2.1199999,7.6700001,5.5500002,2.6179245,.92000002,.24338624,3.78,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,.92000002,.24338624,.26883423,5.5500002,30.802502,30.802502,.092969164,.043853376,.16576576,16,.0625,6,25,.039999999,4,35,.001754135,1.4538637,.041538965,.0037187664,13.568561,.38767317,.0097354492,6.2011752,.17717643,.0066306302,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Distributional_implications_of_US_ethanol_policy_2008",208,3,2008,2007,1,0,1,0,Babcock,4618,9,79,1,0,0,1,1,0,1,0,0,63,0,1,0,0,1,0,0,11,7.9000001,-3.0999999,-.28181818,-.27000001,-.079646021,3.3900001,,.17323516,.019055868,.00021654397,.018839324,87.999992,1,.00035492014,1,.27000001,.079646021,.082934886,3.0999999,9.6099997,9.6099997,.28261492,.025692265,.087096781,6,.16666667,7,25,.039999999,4,35,.0010276906,1.4538637,.041538965,.011304596,13.568561,.38767317,.0031858408,6.2011752,.17717643,.0034838712,5.7900596,.16543028,2-PE,6-PE_other
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,3,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,11.95,13.43,1.48,.12384937,.41999999,.082352944,5.0999999,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,.41999999,.082352944,.26883423,1.48,2.1904001,2.1904001,.66494441,.055643879,.28378376,16,.0625,8,25,.039999999,4,35,.002225755,1.4538637,.041538965,.026597776,13.568561,.38767317,.0032941177,6.2011752,.17717643,.011351351,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,16,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,5.1100001,16.18,11.07,2.1663406,1.99,.5621469,3.54,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,1.99,.5621469,.26883423,11.07,122.54489,122.54489,.25949147,.050781112,.17976514,16,.0625,9,25,.039999999,4,35,.0020312443,1.4538637,.041538965,.010379659,13.568561,.38767317,.022485876,6.2011752,.17717643,.0071906052,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Distributional_implications_of_US_ethanol_policy_2008",208,5,2008,2007,1,0,1,0,Babcock,4618,9,79,1,0,0,1,1,0,1,0,0,105,0,1,1,0,1,0,0,25.799999,24.200001,-1.6,-.062015504,-.12,-.026905829,4.46,,.17323516,.019055868,.00021654397,.018839324,87.999992,1,.00035492014,1,.12,.026905829,.082934886,1.6,2.5600002,2.5600002,.43385649,.016816143,.074999996,6,.16666667,10,25,.039999999,4,35,.00067264569,1.4538637,.041538965,.017354259,13.568561,.38767317,.0010762331,6.2011752,.17717643,.0029999998,5.7900596,.16543028,2-PE,6-PE_other
"Babcock,_Bruce_A..Ethanol_without_Subsidies:_An_Oxymoron_or_the_New_Reality?_2013",5,2,2013,2013,1,0,1,0,Babcock,4515,6,88,0,0,0,1,1,0,1,0,1,84,0,0,0,0,0,0,0,11.03,12.97,1.9400001,.17588395,.66000003,.12359551,5.3400002,,.13289036,.020819491,0,.020819491,,1,.00043345121,0,.66000003,.12359551,.26883423,1.9400001,3.7636001,3.7636001,.70271057,.063709021,.34020618,16,.0625,11,25,.039999999,4,35,.0025483607,1.4538637,.041538965,.028108422,13.568561,.38767317,.0049438202,6.2011752,.17717643,.013608247,5.7900596,.16543028,2-PE,5-ShortRunPE
"Babcock,_Bruce_A..Distributional_implications_of_US_ethanol_policy_2008",208,1,2008,2007,1,0,1,0,Babcock,4618,9,79,1,0,0,1,1,0,1,0,0,84,0,1,0,0,1,0,0,14.6,10.6,-4,-.2739726,-.30000001,-.082872927,3.6199999,,.17323516,.019055868,.00021654397,.018839324,87.999992,1,.00035492014,1,.30000001,.082872927,.082934886,4,16,16,.30248618,.020718232,.075000003,6,.16666667,12,25,.039999999,4,35,.00082872924,1.4538637,.041538965,.012099447,13.568561,.38767317,.003314917,6.2011752,.17717643,.003,5.7900596,.16543028,2-PE,6-PE_other
